hunt_code,year,residency,points,eligible_applicants,total_drawn,bonus_permits,regular_permits,total_permits,status,success_ratio,hunt_name,source_file,page_number,p_draw_percent,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,permit_status,permit_allocation_type,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,permit_source_authority,permit_note,permit_overlay_source,data_status,permits_2026_source,public_permits_2026,public_permits_2026_source,permits_year_res,permits_year_nr,permits_year_total,boundary_id,draw_pool,permit_source,quota_source,truth_source_file,truth_source_status,data_quality_grade,reason_codes,hunt_category,draw_model_class,probability_model,availability_status,new_this_year,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6500,2022,Resident,14,54,0,0,0,0,,,Antelope Island,21_bg-odds.pdf,499,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,15,49,0,0,0,0,,,Antelope Island,2021 Big game limited-entry once-in-a-lifetime draw results.pdf,507,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,16,45,0,0,0,0,,,Antelope Island,21_bg-odds.pdf,499,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,17,42,0,0,0,0,,,Antelope Island,2021 Big game limited-entry once-in-a-lifetime draw results.pdf,507,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,18,45,0,0,0,0,,,Antelope Island,21_bg-odds.pdf,499,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,19,37,0,0,0,0,,,Antelope Island,2021 Big game limited-entry once-in-a-lifetime draw results.pdf,507,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,2,304,0,0,0,0,,,Antelope Island,21_bg-odds.pdf,499,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,20,39,0,0,0,0,,,Antelope Island,2021 Big game limited-entry once-in-a-lifetime draw results.pdf,507,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,21,35,0,0,0,0,,,Antelope Island,2021 Big game limited-entry once-in-a-lifetime draw results.pdf,507,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,2022,Resident,22,28,0,0,0,0,,,Antelope Island,2021 Big game limited-entry once-in-a-lifetime draw results.pdf,507,0,2,0,2,,,,FULL_SPLIT,FULL_SPLIT,,,,,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,2,0,2,,standard,,,,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
