metric,value
created_at,2026-06-04T03:36:06.425Z
source,https://dwrapps.utah.gov/huntboundary/HaNumber?hn={hunt_code}&roles=
input_database_csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv
current_hunt_codes_from_database,1449
rows_written,1449
fetch_ok,1449
fetch_error,0
pass_rows,1449
review_rows,0
rows_with_management_stats,970
rows_with_percent_harvest_success,960
rows_with_current_age_3yr_average,220
rows_with_age_objective,220
rows_with_population_objective,618
rows_with_current_population_estimate,611
rows_with_waiting_period_years,1449
rows_with_special_provisions,1059
rows_with_notes,1215
rows_with_harvest_reporting_text,1426
rows_with_surrender_info,1363
rows_with_draw_odds_note,0
rows_with_permit_total,1449
