year,source_file,source_path,status,rows,codes,code_list
2019,19-20_sportsman_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19-20_sportsman_odds.pdf,ok,0,0,
2019,19_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_antlerless_drawing_odds_report.pdf,ok,8316,256,DA1000|DA1001|DA1002|DA1003|DA1004|DA1005|DA1007|DA1009|DA1010|DA1011|DA1012|DA1013|DA1016|DA1017|DA1018|DA1019|DA1020|DA1021|DA1022|DA1023|DA1024|DA1025|DA1026|DA1027|DA1028|DA1029|DA1030|DA1031|DA1032|DA1033|DA1035|DA1036|DA1039|DA1040|DA1041|DA1042|DA1043|EA1003|EA1004|EA1007|EA1008|EA1009|EA1010|EA1011|EA1012|EA1013|EA1014|EA1015|EA1017|EA1018|EA1019|EA1020|EA1021|EA1022|EA1023|EA1024|EA1025|EA1026|EA1027|EA1028|EA1029|EA1030|EA1031|EA1033|EA1034|EA1035|EA1036|EA1037|EA1038|EA1039|EA1040|EA1042|EA1044|EA1045|EA1046|EA1047|EA1048|EA1049|EA1050|EA1051|EA1052|EA1054|EA1055|EA1056|EA1058|EA1059|EA1060|EA1061|EA1062|EA1063|EA1064|EA1066|EA1067|EA1068|EA1069|EA1073|EA1074|EA1075|EA1076|EA1077|EA1078|EA1079|EA1080|EA1081|EA1084|EA1085|EA1087|EA1089|EA1090|EA1091|EA1092|EA1093|EA1094|EA1098|EA1099|EA1100|EA1101|EA1102|EA1103|EA1104|EA1110|EA1111|EA1112|EA1113|EA1114|EA1116|EA1117|EA1118|EA1119|EA1120|EA1121|EA1122|EA1124|EA1125|EA1126|EA1127|EA1129|EA1130|EA1131|EA1132|EA1134|EA1135|EA1136|EA1137|EA1138|EA1139|EA1140|EA1141|EA1142|EA1143|EA1145|EA1146|EA1147|EA1148|EA1149|EA1151|EA1152|EA1153|EA1155|EA1156|EA1157|EA1158|EA1159|EA1160|EA1161|EA1162|EA1163|EA1164|EA1165|EA1166|EA1167|EA1168|EA1170|EA1172|EA1174|EA1175|EA1176|EA1177|EA1183|EA1184|EA1185|EA1186|EA1187|EA1189|EA1190|EA1191|EA1192|EA1193|EA1194|EA1196|EA1197|EA1198|EA1200|EA1201|EA1202|EA1203|EA1204|EA1205|EA1206|EA1207|EA1208|EA1209|EA1210|EA1211|EA1212|EA1213|EA1214|EA1215|EA1216|EA1217|EA1218|EA1219|MA1000|MA1001|MA1002|MA1003|MA1004|PD1000|PD1001|PD1002|PD1003|PD1005|PD1006|PD1007|PD1008|PD1009|PD1011|PD1012|PD1013|PD1014|PD1015|PD1016|PD1017|PD1018|PD1019|PD1020|PD1022|PD1023|PD1024|PD1025|PD1026|PD1027|PD1028|PD1029|PD1030|PD1031|PD1032|PD1033|PD1034|PD1035|PD1036|PD1037|PD1038|PD1039|PD1040|PD1041
2019,19_bg-odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_bg-odds.pdf,ok,29260,535,BI6500|BI6501|BI6503|BI6504|BI6505|BI6506|BI6507|BI6508|BI6509|BI6515|BI6516|BI6517|BI6518|BI6519|BI6520|DB1000|DB1001|DB1002|DB1003|DB1004|DB1005|DB1006|DB1007|DB1008|DB1009|DB1010|DB1011|DB1012|DB1013|DB1014|DB1015|DB1016|DB1017|DB1018|DB1019|DB1020|DB1021|DB1022|DB1023|DB1024|DB1025|DB1026|DB1027|DB1028|DB1029|DB1030|DB1031|DB1033|DB1034|DB1036|DB1037|DB1038|DB1039|DB1040|DB1041|DB1042|DB1043|DB1044|DB1045|DB1046|DB1047|DB1048|DB1051|DB1052|DB1053|DB1054|DB1058|DB1059|DB1065|DB1073|DB1074|DB1200|DB1201|DB1202|DB1203|DB1204|DB1205|DB1206|DB1207|DB1208|DB1209|DB1210|DB1211|DB1212|DB1213|DB1215|DB1216|DB1217|DB1219|DB1221|DB1222|DB1223|DB1224|DB1225|DB1227|DB1228|DB1229|DB1230|DB1231|DB1232|DB1233|DB1234|DB1236|DB1237|DB1238|DB1240|DB1241|DB1242|DB1243|DB1244|DB1245|DB1246|DB1248|DB1249|DB1250|DB1251|DB1252|DB1253|DB1255|DB1256|DB1257|DB1258|DB1259|DB1260|DB1261|DB1263|DB1264|DB1265|DB1266|DB1267|DB1269|DB1270|DB1271|DB1272|DB1273|DB1274|DB1275|DB1276|DB1277|DB1278|DB1279|DB1280|DB1281|DB1282|DB1283|DB1285|DB1286|DB1287|DB1288|DB1289|DB1290|DB1291|DB1292|DB1293|DB1294|DB1295|DB1297|DB1298|DB1299|DB1300|DB1301|DB1302|DB1303|DB1304|DB1305|DB1306|DB1307|DB1308|DB1309|DB1310|DB1312|DB1317|DB1320|DB1321|DB1322|DB1323|DB1324|DB1325|DB1326|DB1327|DS6600|DS6601|DS6602|DS6603|DS6604|DS6605|DS6606|DS6607|DS6608|DS6609|DS6610|DS6611|DS6612|DS6619|EB3000|EB3001|EB3002|EB3003|EB3004|EB3005|EB3006|EB3007|EB3008|EB3009|EB3010|EB3011|EB3012|EB3013|EB3014|EB3015|EB3016|EB3017|EB3018|EB3019|EB3020|EB3021|EB3022|EB3023|EB3024|EB3025|EB3026|EB3027|EB3028|EB3029|EB3030|EB3031|EB3032|EB3033|EB3034|EB3035|EB3036|EB3037|EB3038|EB3039|EB3040|EB3041|EB3042|EB3043|EB3044|EB3045|EB3046|EB3047|EB3048|EB3049|EB3050|EB3051|EB3052|EB3053|EB3054|EB3055|EB3056|EB3057|EB3058|EB3059|EB3060|EB3061|EB3062|EB3063|EB3064|EB3065|EB3066|EB3067|EB3068|EB3069|EB3070|EB3071|EB3072|EB3073|EB3074|EB3075|EB3076|EB3077|EB3078|EB3079|EB3080|EB3081|EB3082|EB3083|EB3084|EB3085|EB3086|EB3087|EB3088|EB3089|EB3090|EB3091|EB3092|EB3093|EB3094|EB3095|EB3096|EB3097|EB3098|EB3099|EB3100|EB3101|EB3102|EB3103|EB3104|EB3105|EB3106|EB3107|EB3108|EB3109|EB3110|EB3111|EB3112|EB3113|EB3114|EB3115|EB3116|EB3117|EB3118|EB3119|EB3120|EB3121|EB3122|EB3123|EB3124|EB3125|EB3126|EB3127|EB3500|EB3501|EB3502|EB3503|EB3504|EB3505|EB3506|EB3508|EB3509|EB3510|EB3511|EB3512|EB3514|EB3515|EB3516|EB3517|EB3519|EB3520|EB3521|EB3522|EB3523|EB3524|EB3525|EB3526|EB3527|EB3528|EB3529|EB3531|EB3532|EB3533|EB3534|EB3535|EB3536|EB3538|EB3539|EB3540|EB3541|EB3542|EB3543|EB3544|EB3545|EB3546|EB3547|EB3548|EB3549|EB3550|EB3551|EB3552|EB3553|EB3554|EB3555|EB3557|EB3558|EB3559|EB3561|EB3562|EB3563|EB3564|EB3565|EB3603|EB3604|EB3606|EB3607|GO6800|GO6801|GO6803|GO6804|GO6805|GO6806|GO6807|GO6808|GO6809|GO6810|GO6811|GO6813|GO6814|GO6815|GO6817|GO6818|GO6819|GO6820|GO6821|MB6000|MB6001|MB6002|MB6003|MB6004|MB6005|MB6006|MB6007|MB6008|MB6009|MB6010|MB6011|MB6200|MB6201|MB6202|MB6205|MB6206|MB6207|MB6208|MB6209|MB6210|MB6211|MB6215|MB6216|MB6217|MB6219|MB6220|MB6222|MB6223|MB6224|MB6226|MB6240|MB6251|MB6256|MB6257|MB6258|MB6259|MB6261|MB6262|PB5000|PB5001|PB5002|PB5003|PB5004|PB5005|PB5006|PB5007|PB5008|PB5009|PB5011|PB5012|PB5013|PB5015|PB5016|PB5017|PB5018|PB5019|PB5020|PB5021|PB5022|PB5024|PB5025|PB5026|PB5027|PB5028|PB5029|PB5030|PB5031|PB5032|PB5033|PB5034|PB5035|PB5037|PB5038|PB5039|PB5040|PB5041|PB5042|PB5044|PB5045|PB5046|PB5047|PB5048|PB5049|PB5050|PB5051|PB5052|PB5053|PB5054|PB5055|PB5056|PB5058|PB5059|PB5060|PB5300|PB5302|PB5303|PB5304|PB5305|PB5306|PB5307|PB5308|PB5309|PB5310|PB5311|PB5312|PB5313|PB5314|PB5315|PB5325|PB5326|PB5327|PB5328|PB5329|PB5330|PB5331|PB5332|PB5333|PB5334|PB5335|PB5337|RS6701|RS6703|RS6704|RS6712|RS6713|RS6714|RS6719|RS6720|RS6721|RS6722
2019,19_deer_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_deer_odds.pdf,ok,3990,95,DB1500|DB1501|DB1502|DB1503|DB1504|DB1505|DB1506|DB1508|DB1509|DB1510|DB1511|DB1512|DB1513|DB1514|DB1515|DB1516|DB1517|DB1518|DB1519|DB1520|DB1521|DB1522|DB1523|DB1524|DB1525|DB1526|DB1527|DB1528|DB1529|DB1530|DB1531|DB1532|DB1533|DB1534|DB1535|DB1536|DB1538|DB1539|DB1540|DB1541|DB1542|DB1543|DB1544|DB1545|DB1546|DB1547|DB1548|DB1549|DB1550|DB1551|DB1552|DB1553|DB1554|DB1555|DB1556|DB1557|DB1558|DB1559|DB1560|DB1561|DB1562|DB1563|DB1564|DB1565|DB1566|DB1568|DB1569|DB1570|DB1571|DB1572|DB1573|DB1574|DB1575|DB1576|DB1577|DB1578|DB1579|DB1580|DB1581|DB1582|DB1583|DB1584|DB1585|DB1586|DB1587|DB1588|DB1589|DB1590|DB1591|DB1592|DB1593|DB1594|DB1595|DB1596|DB1597
2019,19_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_dh_odds.pdf,ok,1218,29,DB1769|DB1770|DB1771|DB1772|DB1773|DB1774|DB1775|DB1777|DB1778|DB1779|DB1780|DB1781|DB1782|DB1783|DB1784|DB1785|DB1786|DB1787|DB1788|DB1789|DB1790|DB1791|DB1792|DB1793|DB1794|DB1795|DB1796|DB1797|DB1798
2019,19_lifetime_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_lifetime_deer.pdf,ok,3990,95,DB1500|DB1501|DB1502|DB1503|DB1504|DB1505|DB1506|DB1508|DB1509|DB1510|DB1511|DB1512|DB1513|DB1514|DB1515|DB1516|DB1517|DB1518|DB1519|DB1520|DB1521|DB1522|DB1523|DB1524|DB1525|DB1526|DB1527|DB1528|DB1529|DB1530|DB1531|DB1532|DB1533|DB1534|DB1535|DB1536|DB1538|DB1539|DB1540|DB1541|DB1542|DB1543|DB1544|DB1545|DB1546|DB1547|DB1548|DB1549|DB1550|DB1551|DB1552|DB1553|DB1554|DB1555|DB1556|DB1557|DB1558|DB1559|DB1560|DB1561|DB1562|DB1563|DB1564|DB1565|DB1566|DB1568|DB1569|DB1570|DB1571|DB1572|DB1573|DB1574|DB1575|DB1576|DB1577|DB1578|DB1579|DB1580|DB1581|DB1582|DB1583|DB1584|DB1585|DB1586|DB1587|DB1588|DB1589|DB1590|DB1591|DB1592|DB1593|DB1594|DB1595|DB1596|DB1597
2019,19_youth_antlerless_drawing_odds_report.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_youth_antlerless_drawing_odds_report.pdf,ok,7508,232,DA1000|DA1001|DA1002|DA1003|DA1004|DA1005|DA1007|DA1009|DA1010|DA1011|DA1012|DA1013|DA1016|DA1017|DA1018|DA1019|DA1020|DA1021|DA1022|DA1023|DA1024|DA1025|DA1026|DA1027|DA1028|DA1029|DA1030|DA1031|DA1032|DA1033|DA1035|DA1036|DA1039|DA1041|DA1042|DA1043|EA1003|EA1004|EA1007|EA1008|EA1009|EA1010|EA1011|EA1012|EA1013|EA1014|EA1015|EA1017|EA1018|EA1019|EA1020|EA1021|EA1022|EA1023|EA1024|EA1025|EA1026|EA1027|EA1028|EA1029|EA1030|EA1031|EA1033|EA1034|EA1035|EA1036|EA1037|EA1038|EA1039|EA1040|EA1047|EA1048|EA1050|EA1051|EA1052|EA1054|EA1055|EA1056|EA1058|EA1059|EA1060|EA1061|EA1062|EA1063|EA1064|EA1066|EA1067|EA1068|EA1069|EA1073|EA1074|EA1075|EA1076|EA1077|EA1078|EA1079|EA1080|EA1081|EA1085|EA1087|EA1089|EA1090|EA1091|EA1092|EA1093|EA1094|EA1098|EA1099|EA1100|EA1101|EA1102|EA1104|EA1110|EA1111|EA1112|EA1113|EA1114|EA1116|EA1117|EA1118|EA1119|EA1120|EA1121|EA1122|EA1124|EA1125|EA1127|EA1129|EA1130|EA1131|EA1132|EA1134|EA1135|EA1136|EA1137|EA1138|EA1139|EA1140|EA1141|EA1142|EA1143|EA1145|EA1146|EA1147|EA1148|EA1149|EA1151|EA1153|EA1155|EA1156|EA1157|EA1159|EA1160|EA1161|EA1162|EA1163|EA1164|EA1165|EA1166|EA1167|EA1168|EA1170|EA1172|EA1174|EA1175|EA1176|EA1177|EA1184|EA1185|EA1186|EA1187|EA1189|EA1190|EA1191|EA1192|EA1193|EA1194|EA1196|EA1197|EA1198|EA1200|EA1201|EA1203|EA1204|EA1206|EA1207|EA1208|EA1209|EA1211|EA1212|EA1213|EA1214|EA1215|EA1216|EA1217|EA1218|EA1219|PD1000|PD1001|PD1002|PD1003|PD1006|PD1007|PD1008|PD1009|PD1011|PD1012|PD1014|PD1015|PD1016|PD1017|PD1018|PD1019|PD1020|PD1022|PD1024|PD1025|PD1026|PD1027|PD1028|PD1029|PD1030|PD1031|PD1032|PD1033|PD1034|PD1035|PD1036|PD1037|PD1038|PD1039|PD1040
2019,19_youth_bull_elk.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_youth_bull_elk.pdf,ok,54,1,EB1007
2019,19_youth_deer.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_youth_deer.pdf,ok,3948,94,DB1500|DB1501|DB1502|DB1503|DB1504|DB1505|DB1506|DB1508|DB1509|DB1510|DB1511|DB1512|DB1513|DB1514|DB1515|DB1516|DB1517|DB1518|DB1519|DB1520|DB1521|DB1522|DB1523|DB1524|DB1525|DB1526|DB1527|DB1529|DB1530|DB1531|DB1532|DB1533|DB1534|DB1535|DB1536|DB1538|DB1539|DB1540|DB1541|DB1542|DB1543|DB1544|DB1545|DB1546|DB1547|DB1548|DB1549|DB1550|DB1551|DB1552|DB1553|DB1554|DB1555|DB1556|DB1557|DB1558|DB1559|DB1560|DB1561|DB1562|DB1563|DB1564|DB1565|DB1566|DB1568|DB1569|DB1570|DB1571|DB1572|DB1573|DB1574|DB1575|DB1576|DB1577|DB1578|DB1579|DB1580|DB1581|DB1582|DB1583|DB1584|DB1585|DB1586|DB1587|DB1588|DB1589|DB1590|DB1591|DB1592|DB1593|DB1594|DB1595|DB1596|DB1597
2019,19_youth_dh_odds.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\audits\2025_canonical_finalization\fresh_live_pulls_20260621_192945\older_years_biggame_odds\2019\19_youth_dh_odds.pdf,ok,924,22,DB1769|DB1771|DB1772|DB1773|DB1774|DB1775|DB1779|DB1780|DB1781|DB1784|DB1786|DB1787|DB1788|DB1789|DB1791|DB1792|DB1793|DB1794|DB1795|DB1796|DB1797|DB1798
