report_year,draw_year,model_year,comparison_hunt_code,prefix,species_from_prefix,best_hunt_title_or_row_text,unit_or_area_inferred,weapon_or_last_segment_inferred,source_family_values,raw_hunt_codes_observed,source_file_count,source_files,source_locations,hunt_code_review_statuses,candidate_normalized_hunt_codes,year_document_status,notes
2018,2018,2019,BI1000,BI,Bison,"BI1000 Sportsman Bison 1 0 4,964 0 4,965 1 N/A 1 1 in 4,965.0 N/A",,,SPORTSMAN,BI1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,BR1000,BR,Black Bear,"BR1000 Sportsman Black Bear 1 0 1,770 0 1,771 1 N/A 1 1 in 1,771.0 N/A",,,SPORTSMAN,BR1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,CG1000,CG,Cougar,"CG1000 Sportsman Cougar 1 0 1,126 0 1,127 1 N/A 1 1 in 1,127.0 N/A",,,SPORTSMAN,CG1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,DB0007,DB,Buck Deer,"DB0007 Sportsman Deer 1 0 11,017 0 11,018 1 N/A 1 1 in 11,018.0 N/A",,,SPORTSMAN,DB0007,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,DS1000,DS,Desert Bighorn Sheep,"DS1000 Sportsman Desert Bighorn 1 0 4,099 0 4,100 1 N/A 1 1 in 4,100.0 N/A",,,SPORTSMAN,DS1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,EB1000,EB,Bull Elk,"EB1000 Sportsman Elk 1 0 10,760 0 10,761 1 N/A 1 1 in 10,761.0 N/A",,,SPORTSMAN,EB1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,GO1000,GO,Mountain Goat,"GO1000 Sportsman Mountain Goat 1 0 3,355 0 3,356 1 N/A 1 1 in 3,356.0 N/A",,,SPORTSMAN,GO1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,MB1000,MB,Bull Moose,"MB1000 Sportsman Moose 1 0 5,465 0 5,466 1 N/A 1 1 in 5,466.0 N/A",,,SPORTSMAN,MB1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,PB1000,PB,Buck Pronghorn,"PB1000 Sportsman Pronghorn 1 0 3,627 0 3,628 1 N/A 1 1 in 3,628.0 N/A",,,SPORTSMAN,PB1000,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,RS0001,RS,Rocky Mountain Bighorn Sheep,"RS0001 Sportsman Rocky Mtn 1 0 4,314 0 4,315 1 N/A 1 1 in 4,315.0 N/A",,,SPORTSMAN,RS0001,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
2018,2018,2019,TK0001,TK,Turkey,TK0001 Sportsman Bearded 1 0 897 0 898 1 N/A 1 1 in 898.0 N/A,,,SPORTSMAN,TK0001,1,2018/2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,pdf_page_1,AS_EXTRACTED,,OK,Independent BIBLE year-folder extraction; compare/crosswalk is downstream.
