from_report_year,to_report_year,from_model_year,to_model_year,from_hunt_code,to_hunt_code,from_prefix,to_prefix,compare_status,candidate_confidence,identity_score,from_species,to_species,from_unit_or_area,to_unit_or_area,from_weapon,to_weapon,from_title,to_title,from_source_files,to_source_files,recommended_next_action,notes
2018,2019,2019,2020,,BI6500,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Antelope Island,,Any Legal Weapon,,Hunt: BI6500 Bison - Antelope Island - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6501,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Book Cliffs (hunter's Choice),,Any Legal Weapon,,Hunt: BI6501 Bison - Book Cliffs (hunter's Choice) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6503,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (hunter's Choice),,Any Legal Weapon,,Hunt: BI6503 Bison - Henry Mtns (hunter's Choice) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6504,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (hunter's Choice),,Any Legal Weapon,,Hunt: BI6504 Bison - Henry Mtns (hunter's Choice) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6505,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (cow Only),,Any Legal Weapon,,Hunt: BI6505 Bison - Henry Mtns (cow Only) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6506,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (cow Only),,Any Legal Weapon,,Hunt: BI6506 Bison - Henry Mtns (cow Only) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6507,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,"Book Cliffs, Wild Horse Bench/nine Mile, Anthro",,Any Legal Weapon,,"Hunt: BI6507 Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon",,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6508,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Book Cliffs (cow Only),,Any Legal Weapon,,Hunt: BI6508 Bison - Book Cliffs (cow Only) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6509,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (hunter's Choice),,Archery,,Hunt: BI6509 Bison Archery - Henry Mtns (hunter's Choice) - Archery,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6515,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (cow Only),,Archery,,Hunt: BI6515 Bison Archery - Henry Mtns (cow Only) - Archery,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6516,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Henry Mtns (hunter's Choice),,Any Legal Weapon,,Hunt: BI6516 Bison - Henry Mtns (hunter's Choice) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6517,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Book Cliffs (hunter's Choice),,Any Legal Weapon,,Hunt: BI6517 Bison - Book Cliffs (hunter's Choice) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6518,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Book Cliffs (hunter's Choice),,Any Legal Weapon,,Hunt: BI6518 Bison - Book Cliffs (hunter's Choice) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6519,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,"Book Cliffs, Little Creek Roadless (hunter's Choice)",,Any Legal Weapon,,"Hunt: BI6519 Bison - Book Cliffs, Little Creek Roadless (hunter's Choice) - Any Legal Weapon",,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BI6520,,BI,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Bison,,Book Cliffs (cow Only),,Any Legal Weapon,,Hunt: BI6520 Bison - Book Cliffs (cow Only) - Any Legal Weapon,,2019/2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
2018,2019,2019,2020,,BR1008,,BR,ADDED_NO_YEAR_DOCUMENT_PREDECESSOR,NO_SAFE_MATCH,,,Black Bear,,,,,,Hunt: BR1008,,2019/2019_PERMITS=2020_MODEL__BEAR DRAW RESULTS.pdf,"Resolve as new, reactivated, renamed outside threshold, or prior-year extraction gap.",Built from independent BIBLE year documents.
