source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_BLACK_BEAR.xlsx,Sheet,Beaver,BR7100,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",9,1,10,MAX / RANDOM DRAW,,5.8,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Bitter Creek/South,BR7101,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",14,1,15,MAX / RANDOM DRAW,,5.7,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Little Creek Roadless,BR7102,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,MAX / RANDOM DRAW,,4.5,,
2026_BLACK_BEAR.xlsx,Sheet,Manti North,BR7104,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",17,1,18,MAX / RANDOM DRAW,,4.1,,
2026_BLACK_BEAR.xlsx,Sheet,Manti South/San Rafael North,BR7105,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,MAX / RANDOM DRAW,,3.7,,
2026_BLACK_BEAR.xlsx,Sheet,Nebo,BR7106,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",8,0,8,MAX / RANDOM DRAW,,3.7,,
2026_BLACK_BEAR.xlsx,Sheet,Mt Dutton,BR7109,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Nine Mile,BR7110,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",18,2,20,MAX / RANDOM DRAW,,5.7,,
2026_BLACK_BEAR.xlsx,Sheet,North Slope Three Corners/West Daggett,BR7111,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,MAX / RANDOM DRAW,,8.7,,
2026_BLACK_BEAR.xlsx,Sheet,Panguitch Lake/Zion,BR7112,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,MAX / RANDOM DRAW,,4.8,,
2026_BLACK_BEAR.xlsx,Sheet,Paunsaugunt,BR7113,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Boulder/Kaiparowits,BR7114,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",13,1,14,MAX / RANDOM DRAW,,6.2,,
2026_BLACK_BEAR.xlsx,Sheet,Fishlake/Thousand Lakes,BR7115,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,MAX / RANDOM DRAW,,3.5,,
2026_BLACK_BEAR.xlsx,Sheet,San Juan,BR7116,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,2,24,MAX / RANDOM DRAW,,4,,
2026_BLACK_BEAR.xlsx,Sheet,Diamond Mtn/Vernal/Bonanza,BR7117,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,MAX / RANDOM DRAW,,4.2,,
2026_BLACK_BEAR.xlsx,Sheet,Yellowstone,BR7118,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,MAX / RANDOM DRAW,,5.4,,
2026_BLACK_BEAR.xlsx,Sheet,Wasatch Mtns Avintaquin/Currant Creek,BR7119,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,MAX / RANDOM DRAW,,5,,
2026_BLACK_BEAR.xlsx,Sheet,Wasatch Mtns West-Central,BR7120,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,1,23,MAX / RANDOM DRAW,,4.7,,
2026_BLACK_BEAR.xlsx,Sheet,Cache/Ogden,BR7121,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",4,0,4,MAX / RANDOM DRAW,,6.2,,
2026_BLACK_BEAR.xlsx,Sheet,Chalk Creek/East Canyon/Morgan-South Rich,BR7122,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,MAX / RANDOM DRAW,,4.4,,
2026_BLACK_BEAR.xlsx,Sheet,Kamas/North Slope Summit,BR7123,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,MAX / RANDOM DRAW,,4.3,,
2026_BLACK_BEAR.xlsx,Sheet,Fillmore Pahvant,BR7124,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",2,0,2,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Monroe,BR7125,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Dolores Triangle,BR7126,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,MAX / RANDOM DRAW,,,,
2026_BLACK_BEAR.xlsx,Sheet,La Sal Mtns,BR7127,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",25,2,27,MAX / RANDOM DRAW,,4.7,,
2026_BLACK_BEAR.xlsx,Sheet,Beaver,BR7200,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,MAX / RANDOM DRAW,,5.8,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Bitter Creek/South,BR7201,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,MAX / RANDOM DRAW,,5.7,,
2026_BLACK_BEAR.xlsx,Sheet,Manti North,BR7203,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,MAX / RANDOM DRAW,,4.1,,
2026_BLACK_BEAR.xlsx,Sheet,Manti South/San Rafael North,BR7204,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,MAX / RANDOM DRAW,,3.7,,
2026_BLACK_BEAR.xlsx,Sheet,Nebo,BR7205,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,3.7,,
2026_BLACK_BEAR.xlsx,Sheet,Fillmore Pahvant,BR7207,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Mt Dutton,BR7210,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Nine Mile,BR7211,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,MAX / RANDOM DRAW,,5.7,,
2026_BLACK_BEAR.xlsx,Sheet,North Slope Three Corners/West Daggett,BR7212,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,MAX / RANDOM DRAW,,8.7,,
2026_BLACK_BEAR.xlsx,Sheet,Panguitch Lake/Zion,BR7213,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,MAX / RANDOM DRAW,,4.8,,
2026_BLACK_BEAR.xlsx,Sheet,Paunsaugunt,BR7214,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Boulder/Kaiparowits,BR7215,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,MAX / RANDOM DRAW,,6.2,,
2026_BLACK_BEAR.xlsx,Sheet,Fishlake/Thousand Lakes,BR7216,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,3.5,,
2026_BLACK_BEAR.xlsx,Sheet,San Juan,BR7217,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,MAX / RANDOM DRAW,,4,,
2026_BLACK_BEAR.xlsx,Sheet,Diamond Mtn/Vernal/Bonanza,BR7218,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,MAX / RANDOM DRAW,,4.2,,
2026_BLACK_BEAR.xlsx,Sheet,Yellowstone,BR7219,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,MAX / RANDOM DRAW,,5.4,,
2026_BLACK_BEAR.xlsx,Sheet,Wasatch Mtns Avintaquin/Currant Creek,BR7220,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,MAX / RANDOM DRAW,,5,,
2026_BLACK_BEAR.xlsx,Sheet,Wasatch Mtns West-Central,BR7221,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,MAX / RANDOM DRAW,,4.7,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Little Creek Roadless,BR7224,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",14,1,15,MAX / RANDOM DRAW,,4.5,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Little Creek Roadless,BR7225,Either Sex,Black Bear,Any Legal Weapon,Spot and Stalk,"Sept. 1 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,4.5,,
2026_BLACK_BEAR.xlsx,Sheet,Cache/Ogden,BR7228,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,6.2,,
2026_BLACK_BEAR.xlsx,Sheet,Kamas/North Slope Summit,BR7229,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,MAX / RANDOM DRAW,,4.3,,
2026_BLACK_BEAR.xlsx,Sheet,Monroe,BR7237,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Dolores Triangle,BR7238,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,MAX / RANDOM DRAW,,,,
2026_BLACK_BEAR.xlsx,Sheet,La Sal Mtns,BR7239,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,MAX / RANDOM DRAW,,4.7,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Bitter Creek/South,BR7300,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,MAX / RANDOM DRAW,,5.7,,
2026_BLACK_BEAR.xlsx,Sheet,Book Cliffs Little Creek Roadless,BR7301,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,4.5,,
2026_BLACK_BEAR.xlsx,Sheet,Manti North,BR7303,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,MAX / RANDOM DRAW,,4.1,,
2026_BLACK_BEAR.xlsx,Sheet,Manti South/San Rafael North,BR7304,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,MAX / RANDOM DRAW,,3.7,,
2026_BLACK_BEAR.xlsx,Sheet,Nebo,BR7305,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,3.7,,
2026_BLACK_BEAR.xlsx,Sheet,La Sal,BR7307,Either Sex,Black Bear,Multiseason,Multiseason - Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,MAX / RANDOM DRAW,,4.7,,
2026_BLACK_BEAR.xlsx,Sheet,North Slope Three Corners/West Daggett,BR7308,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,8.7,,
2026_BLACK_BEAR.xlsx,Sheet,Panguitch Lake/Zion,BR7309,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,MAX / RANDOM DRAW,,4.8,,
2026_BLACK_BEAR.xlsx,Sheet,Boulder/Kaiparowits,BR7310,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,MAX / RANDOM DRAW,,6.2,,
2026_BLACK_BEAR.xlsx,Sheet,Fishlake/Thousand Lakes,BR7311,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,MAX / RANDOM DRAW,,3.5,,
2026_BLACK_BEAR.xlsx,Sheet,San Juan,BR7312,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",11,1,12,MAX / RANDOM DRAW,,4,,
2026_BLACK_BEAR.xlsx,Sheet,Diamond Mtn/Vernal/Bonanza,BR7313,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,4.2,,
2026_BLACK_BEAR.xlsx,Sheet,Yellowstone,BR7314,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,MAX / RANDOM DRAW,,5.4,,
2026_BLACK_BEAR.xlsx,Sheet,Wasatch Mtns Avintaquin/Currant Creek,BR7315,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,MAX / RANDOM DRAW,,5,,
2026_BLACK_BEAR.xlsx,Sheet,Wasatch Mtns West-Central,BR7316,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,MAX / RANDOM DRAW,,4.7,,
2026_BLACK_BEAR.xlsx,Sheet,Nine Mile,BR7317,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",9,1,10,MAX / RANDOM DRAW,,5.7,,
2026_BLACK_BEAR.xlsx,Sheet,Beaver,BR7318,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,5.8,,
2026_BLACK_BEAR.xlsx,Sheet,Cache/Ogden,BR7320,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,MAX / RANDOM DRAW,,5.5,,
2026_BLACK_BEAR.xlsx,Sheet,Kamas/North Slope Summit,BR7321,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,MAX / RANDOM DRAW,,4.3,,
2026_BLACK_BEAR.xlsx,Sheet,Mt Dutton,BR7322,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Paunsaugunt,BR7323,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,3,,
2026_BLACK_BEAR.xlsx,Sheet,Chalk Creek/East Canyon/Morgan-South Rich,BR7324,Either Sex,Black Bear,Multiseason,Conservation,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",,,,MAX / RANDOM DRAW,,4.4,,
2026_BLACK_BEAR.xlsx,Sheet,Chalk Creek/East Canyon/Morgan-South Rich,BR7325,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,MAX / RANDOM DRAW,,4.4,,
