hunt_code,row_type,hunt_type,old_hunt_name,new_hunt_name
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,point_level_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,hunt_total_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6507,hunt_total_draw_result,Once-in-a-lifetime,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon","Book Cliffs, Wild Horse Bench/nine Mile, Anthro"
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
BI6508,point_level_draw_result,Once-in-a-lifetime,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Book Cliffs
