actual_draw_year,model_target_year,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,hunt_code,hunt_name,species,sex_type,draw_design,weapon,hunt_type,season,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio,p_draw,p_draw_percent,record_type,boundary_id,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,permits_2026_res,permits_2026_nr,permits_2026_total
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,2,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,"March 28 - May 25, 2026",Nonresident,10,0,0,0,0,N/A,,,point_level_draw_result,628,Official 2026 DWR PDF point row promoted to canonical scorable truth.,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,PDF_ONLY_DENSE_LADDER_ADDED,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026 Black Bear Draw Results,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,2,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,"March 28 - May 25, 2026",Nonresident,11,0,0,0,0,N/A,,,point_level_draw_result,628,Official 2026 DWR PDF point row promoted to canonical scorable truth.,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,PDF_ONLY_DENSE_LADDER_ADDED,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026 Black Bear Draw Results,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,2,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,"March 28 - May 25, 2026",Nonresident,12,0,0,0,0,N/A,,,point_level_draw_result,628,Official 2026 DWR PDF point row promoted to canonical scorable truth.,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,PDF_ONLY_DENSE_LADDER_ADDED,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026 Black Bear Draw Results,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,2,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,"March 28 - May 25, 2026",Nonresident,13,0,0,0,0,N/A,,,point_level_draw_result,628,Official 2026 DWR PDF point row promoted to canonical scorable truth.,OFFICIAL_DWR_2026_PDF_DRAW_RESULTS,PDF_ONLY_DENSE_LADDER_ADDED,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026 Black Bear Draw Results,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,0,31,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,1,33,0,1,1,0.03030303,0.03030303,3.030303,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,2,16,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,3,9,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,4,11,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,5,14,0,1,1,0.071428571,0.071428571,7.142857,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
